dataset_id,dataset_name,organism_query,database_id,database_name,database_version,total_annotations,annotations_fdr_lte_0.5,annotation_csv_path
2025-12-15_21h10m33s,placenta_ito_APEBA,Homo sapiens (human),374,KEGG,v1,328,328,metaspace_kegg_annotation_csvs\2025-12-15_21h10m33s__placenta_ito_APEBA__KEGG__v1.csv
2025-12-15_21h11m26s,placenta_pen#1_4APEBA,Homo sapiens (human),374,KEGG,v1,174,174,metaspace_kegg_annotation_csvs\2025-12-15_21h11m26s__placenta_pen_1_4APEBA__KEGG__v1.csv
2025-12-15_21h12m21s,placenta_pen#2,Homo sapiens (human),374,KEGG,v1,168,168,metaspace_kegg_annotation_csvs\2025-12-15_21h12m21s__placenta_pen_2__KEGG__v1.csv
2022-05-06_22h55m06s,05042022_torti_c12_c13_v2_erastin,Homo sapiens (human),374,KEGG,v1,241,241,metaspace_kegg_annotation_csvs\2022-05-06_22h55m06s__05042022_torti_c12_c13_v2_erastin__KEGG__v1.csv
2022-04-11_21h04m05s,20220407_torti_erastinvscntrl_run2a14c,Homo sapiens (human),374,KEGG,v1,154,154,metaspace_kegg_annotation_csvs\2022-04-11_21h04m05s__20220407_torti_erastinvscntrl_run2a14c__KEGG__v1.csv
2022-04-05_01h59m18s,20220331_tort_cntrl_erastin_12dhb_001_a13_t_cntl_2,Homo sapiens (human),374,KEGG,v1,2319,2319,metaspace_kegg_annotation_csvs\2022-04-05_01h59m18s__20220331_tort_cntrl_erastin_12dhb_001_a13_t_cntl_2__KEGG__v1.csv
2022-04-11_21h59m42s,20220407_torti_erastinvscntrl_run2a14t,Homo sapiens (human),374,KEGG,v1,85,85,metaspace_kegg_annotation_csvs\2022-04-11_21h59m42s__20220407_torti_erastinvscntrl_run2a14t__KEGG__v1.csv
2021-11-10_08h09m47s,print20_pos,Homo sapiens (human),374,KEGG,v1,40,40,metaspace_kegg_annotation_csvs\2021-11-10_08h09m47s__print20_pos__KEGG__v1.csv
2021-11-10_07h40m35s,print19_neg,Homo sapiens (human),374,KEGG,v1,7,7,metaspace_kegg_annotation_csvs\2021-11-10_07h40m35s__print19_neg__KEGG__v1.csv
2021-11-10_07h02m55s,print11_pos,Homo sapiens (human),374,KEGG,v1,45,45,metaspace_kegg_annotation_csvs\2021-11-10_07h02m55s__print11_pos__KEGG__v1.csv
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,42,42,metaspace_kegg_annotation_csvs\2021-11-10_04h48m47s__pos_print19_rms_peak1104__KEGG__v1.csv
2026-05-29_21h54m50s,V11L12-109-B1.from_smamsi,Mus musculus (mouse),374,KEGG,v1,194,115,metaspace_kegg_annotation_csvs\2026-05-29_21h54m50s__V11L12-109-B1.from_smamsi__KEGG__v1.csv
2026-05-13_14h12m22s,V11L12-038-B1.from_smamsi,Mus musculus (mouse),374,KEGG,v1,172,138,metaspace_kegg_annotation_csvs\2026-05-13_14h12m22s__V11L12-038-B1.from_smamsi__KEGG__v1.csv
