dataset_id,dataset_name,organism_query,analyzer_type_query,polarity,ionisation_source,submitter,group,project,url,kegg_database_count,kegg_databases
2025-12-15_21h10m33s,placenta_ito_APEBA,Homo sapiens (human),FTICR,Positive,,"{'id': '5727e8d4-e1dd-11e8-9d75-ab438cebdf9e', 'name': 'Dusan Velickovic'}","{'id': '5727e83b-e1dd-11e8-9d75-43aa86b2f767', 'name': 'Pacific Northwest National Laboratory', 'shortName': 'PNNL'}",,https://metaspace2020.org/annotations?ds=2025-12-15_21h10m33s,1,KEGG v1
2025-12-15_21h11m26s,placenta_pen#1_4APEBA,Homo sapiens (human),FTICR,Positive,,"{'id': '5727e8d4-e1dd-11e8-9d75-ab438cebdf9e', 'name': 'Dusan Velickovic'}","{'id': '5727e83b-e1dd-11e8-9d75-43aa86b2f767', 'name': 'Pacific Northwest National Laboratory', 'shortName': 'PNNL'}",,https://metaspace2020.org/annotations?ds=2025-12-15_21h11m26s,1,KEGG v1
2025-12-15_21h12m21s,placenta_pen#2,Homo sapiens (human),FTICR,Positive,,"{'id': '5727e8d4-e1dd-11e8-9d75-ab438cebdf9e', 'name': 'Dusan Velickovic'}","{'id': '5727e83b-e1dd-11e8-9d75-43aa86b2f767', 'name': 'Pacific Northwest National Laboratory', 'shortName': 'PNNL'}",,https://metaspace2020.org/annotations?ds=2025-12-15_21h12m21s,1,KEGG v1
2022-05-06_22h55m06s,05042022_torti_c12_c13_v2_erastin,Homo sapiens (human),FTICR,Positive,,"{'id': '64e8df7d-001a-11ea-9d77-8bf3a87fba61', 'name': 'mike taylor'}","{'id': '5727e83b-e1dd-11e8-9d75-43aa86b2f767', 'name': 'Pacific Northwest National Laboratory', 'shortName': 'PNNL'}",,https://metaspace2020.org/annotations?ds=2022-05-06_22h55m06s,1,KEGG v1
2022-04-11_21h04m05s,20220407_torti_erastinvscntrl_run2a14c,Homo sapiens (human),FTICR,Positive,,"{'id': '64e8df7d-001a-11ea-9d77-8bf3a87fba61', 'name': 'mike taylor'}","{'id': '5727e83b-e1dd-11e8-9d75-43aa86b2f767', 'name': 'Pacific Northwest National Laboratory', 'shortName': 'PNNL'}",,https://metaspace2020.org/annotations?ds=2022-04-11_21h04m05s,1,KEGG v1
2022-04-05_01h59m18s,20220331_tort_cntrl_erastin_12dhb_001_a13_t_cntl_2,Homo sapiens (human),FTICR,Positive,,"{'id': '64e8df7d-001a-11ea-9d77-8bf3a87fba61', 'name': 'mike taylor'}","{'id': '5727e83b-e1dd-11e8-9d75-43aa86b2f767', 'name': 'Pacific Northwest National Laboratory', 'shortName': 'PNNL'}",,https://metaspace2020.org/annotations?ds=2022-04-05_01h59m18s,1,KEGG v1
2022-04-11_21h59m42s,20220407_torti_erastinvscntrl_run2a14t,Homo sapiens (human),FTICR,Positive,,"{'id': '64e8df7d-001a-11ea-9d77-8bf3a87fba61', 'name': 'mike taylor'}","{'id': '5727e83b-e1dd-11e8-9d75-43aa86b2f767', 'name': 'Pacific Northwest National Laboratory', 'shortName': 'PNNL'}",,https://metaspace2020.org/annotations?ds=2022-04-11_21h59m42s,1,KEGG v1
2021-11-10_08h09m47s,print20_pos,Homo sapiens (human),FTICR,Positive,,"{'id': '0c144fa3-41d7-11ec-96db-bfbffa90e3b4', 'name': 'Georgia cottnam'}","{'id': '94077856-03aa-11eb-96db-9b1bc2c63871', 'name': 'Murdoch University', 'shortName': 'MurdochU'}",,https://metaspace2020.org/annotations?ds=2021-11-10_08h09m47s,1,KEGG v1
2021-11-10_07h40m35s,print19_neg,Homo sapiens (human),FTICR,Negative,,"{'id': '0c144fa3-41d7-11ec-96db-bfbffa90e3b4', 'name': 'Georgia cottnam'}","{'id': '94077856-03aa-11eb-96db-9b1bc2c63871', 'name': 'Murdoch University', 'shortName': 'MurdochU'}",,https://metaspace2020.org/annotations?ds=2021-11-10_07h40m35s,1,KEGG v1
2021-11-10_07h02m55s,print11_pos,Homo sapiens (human),FTICR,Positive,,"{'id': '0c144fa3-41d7-11ec-96db-bfbffa90e3b4', 'name': 'Georgia cottnam'}","{'id': '94077856-03aa-11eb-96db-9b1bc2c63871', 'name': 'Murdoch University', 'shortName': 'MurdochU'}",,https://metaspace2020.org/annotations?ds=2021-11-10_07h02m55s,1,KEGG v1
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),FTICR,Positive,,"{'id': '0c144fa3-41d7-11ec-96db-bfbffa90e3b4', 'name': 'Georgia cottnam'}",,,https://metaspace2020.org/annotations?ds=2021-11-10_04h48m47s,1,KEGG v1
2026-05-29_21h54m50s,V11L12-109-B1.from_smamsi,Mus musculus (mouse),FTICR,Positive,,"{'id': '72cb2591-efa8-11ef-a048-179aa6b198d6', 'name': 'Aditya Pratapa'}","{'id': '4b5c47de-efb0-11ef-a048-df02e855612e', 'name': 'APG', 'shortName': 'APG'}",,https://metaspace2020.org/annotations?ds=2026-05-29_21h54m50s,1,KEGG v1
2026-05-13_14h12m22s,V11L12-038-B1.from_smamsi,Mus musculus (mouse),FTICR,Positive,,"{'id': '72cb2591-efa8-11ef-a048-179aa6b198d6', 'name': 'Aditya Pratapa'}","{'id': '4b5c47de-efb0-11ef-a048-df02e855612e', 'name': 'APG', 'shortName': 'APG'}",,https://metaspace2020.org/annotations?ds=2026-05-13_14h12m22s,1,KEGG v1
2026-04-10_01h17m48s,V11L12-038-D1.from_smamsi,Mus musculus (mouse),FTICR,Negative,,"{'id': '72cb2591-efa8-11ef-a048-179aa6b198d6', 'name': 'Aditya Pratapa'}","{'id': '4b5c47de-efb0-11ef-a048-df02e855612e', 'name': 'APG', 'shortName': 'APG'}",,https://metaspace2020.org/annotations?ds=2026-04-10_01h17m48s,1,KEGG v1
2025-04-10_23h29m14s,re-annotate RB_a2s2 2018,Mus musculus (mouse),FTICR,Positive,,"{'id': '33f306e9-0931-11ef-86c1-b36af3bebb94', 'name': 'johanna galvis'}",,,https://metaspace2020.org/annotations?ds=2025-04-10_23h29m14s,1,KEGG v1
2023-12-08_11h30m26s,ito_9aa_mouse3,Mus musculus (mouse),FTICR,Negative,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h30m26s,1,KEGG v1
2023-12-08_11h28m27s,ito_9aa_mouse1,Mus musculus (mouse),FTICR,Negative,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h28m27s,1,KEGG v1
2023-12-08_11h32m26s,ito_9aa_mouse4,Mus musculus (mouse),FTICR,Negative,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h32m26s,1,KEGG v1
2023-12-08_11h33m27s,ito_dhb_mouse1,Mus musculus (mouse),FTICR,Positive,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h33m27s,1,KEGG v1
2023-12-08_11h36m46s,ito_fmp10_mpd1,Mus musculus (mouse),FTICR,Positive,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h36m46s,1,KEGG v1
2023-12-08_11h35m33s,ito_dhb_mouse4,Mus musculus (mouse),FTICR,Positive,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h35m33s,1,KEGG v1
2023-12-08_11h34m42s,ito_dhb_mouse3,Mus musculus (mouse),FTICR,Positive,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h34m42s,1,KEGG v1
2023-12-08_11h37m32s,ito_fmp10_mpd3,Mus musculus (mouse),FTICR,Positive,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h37m32s,1,KEGG v1
2023-12-08_11h38m41s,ito_fmp10_mpd4,Mus musculus (mouse),FTICR,Positive,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h38m41s,1,KEGG v1
2023-12-08_11h43m23s,to2_dhb,Mus musculus (mouse),FTICR,Positive,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h43m23s,1,KEGG v1
2023-12-08_11h41m09s,to2_9aa_c2,Mus musculus (mouse),FTICR,Negative,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h41m09s,1,KEGG v1
2023-12-08_11h44m13s,to2_fmp10,Mus musculus (mouse),FTICR,Positive,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h44m13s,1,KEGG v1
2023-12-08_11h40m17s,to2_9aa_c1,Mus musculus (mouse),FTICR,Negative,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h40m17s,1,KEGG v1
2023-12-08_11h46m12s,to2_norharpos,Mus musculus (mouse),FTICR,Positive,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h46m12s,1,KEGG v1
2023-12-08_11h45m18s,to2_norharneg,Mus musculus (mouse),FTICR,Negative,,"{'id': '68eb4557-3a73-11ed-89bf-6f30ee2e3288', 'name': 'Tim Rose'}","{'id': '5727e852-e1dd-11e8-9d75-5fefa7059e48', 'name': 'European Molecular Biology Laboratory', 'shortName': '♡EMBL♡'}",,https://metaspace2020.org/annotations?ds=2023-12-08_11h45m18s,1,KEGG v1
